word, freq
贾宝玉,4054
贾母,2612
林黛玉,1253
王夫人,1011
薛宝钗,866
贾琏,709
贾政,684
薛姨妈,453
贾珍,309
邢夫人,284
紫鹃,273
尤氏,257
薛蟠,194
贾芸,175
周瑞家,170
贾迎春,144
贾蓉,143
林之孝,143
赵姨娘,132
和尚,118
贾环,107
老婆子,105
夏金桂,104
尤二姐,91
薛宝琴,89
小姐,87
秦钟,85
贾惜春,82
史湘云,82
妙玉,79
秋纹,78
雪雁,72
大老爷,64
冯紫英,58
那丫头,57
贾兰,57
秦氏,54
甄士隐,53
司棋,53
巧姐儿,52
那婆子,51
老嬷嬷,49
从小儿,47
王爷,46
邢王二,45
北静王,44
旺儿,44
贾府,43
赖大,43
玉钏儿,42
何曾,41
巧姐,41
金钏儿,39
荣国府,38
金陵,38
丰儿,38
祖宗,37
李嬷嬷,37
贾瑞,37
尤三姐,36
贾妃,36
包勇,36
甄宝玉,36
梅花,34
贾芹,33
贾家,32
贾蔷,32
李贵,31
蒋玉菡,30
安静,30
周瑞,30
张罗,30
孙子,30
薛家,29
桂花,29
小红,28
红玉,28
王善保,28
秋桐,27
李十儿,27
张华,26
王子腾,25
马道婆,25
贾雨村,24
水月庵,24
王仁,24
倪二,24
张道士,24
鲍二,24
王太医,23
李氏,22
金荣,22
齐全,22
柳湘莲,22
雪雁道,21
谢恩,21
邢岫烟,21
老先生,20
道谢,20
相公,20
